A,1C,F0 1C
B,32,F0 32
C,21,F0 21
D,23,F0 23
E,24,F0 24
F,2B,F0 2B
G,34,F0 34
H,33,F0 33
I,43,F0 43
J,3B,F0 3B
K,42,F0 42
L,4B,F0 4B
M,3A,F0 3A
N,31,F0 31
O,44,F0 44
P,4D,F0 4D
Q,15,F0 15
R,2D,F0 2D
S,1B,F0 1B
T,2C,F0 2C
U,3C,F0 3C
V,2A,F0 2A
W,1D,F0 1D
X,22,F0 22
Y,35,F0 35
Z,1A,F0 1A
0,45,F0 45
1,16,F0 16
2,1E,F0 1E
3,26,F0 26
4,25,F0 25
5,2E,F0 2E
6,36,F0 36
7,3D,F0 3D
8,3E,F0 3E
9,46,F0 46
`,0E,F0 0E
-,4E,F0 4E
=,55,F0 55
BACKSLASH,5D,F0 5D
BACKSPACE,66,F0 66
SPACE,29,F0 29
TAB,0D,F0 0D
CAPS,14,F0 14
LSHIFT,12,F0 12
LCTRL,11,F0 11
LGUI,8B,F0 8B
LALT,19,F0 19
RSHIFT,59,F0 59
RCTRL,58,F0 58
RGUI,8C,F0 8C
RALT,39,F0 39
APPS,8D,F0 8D
ENTER,5A,F0 5A
ESC,08,F0 08
F1,07,F0 07
F2,0F,F0 0F
F3,17,F0 17
F4,1F,F0 1F
F5,27,F0 27
F6,2F,F0 2F
F7,37,F0 37
F8,3F,F0 3F
F9,47,F0 47
F10,4F,F0 4F
F11,56,F0 56
F12,5E,F0 5E
PRNTSCRN,57,F0 57
SCROLL,5F,F0 5F
PAUSE,62,F0 62
[,54,F0 54
INSERT,67,F0 67
HOME,6E,F0 6E
PGUP,6F,F0 6F
DELETE,64,F0 64
END,65,F0 65
PGDN,6D,F0 6D
UARROW,63,F0 63
LARROW,61,F0 61
DARROW,60,F0 60
RARROW,6A,F0 6A
NUM,76,F0 76
KP/,4A,F0 4A 
KP*,7E,F0 7E
KP-,4E,F0 4E
KP+,7C,F0 7C
KPEN,79,F0 79
KP.,71,F0 71
KP0,70,F0 70
KP1,69,F0 69
KP2,72,F0 72
KP3,7A,F0 7A
KP4,6B,F0 6B
KP5,73,F0 73
KP6,74,F0 74
KP7,6C,F0 6C
KP8,75,F0 75
KP9,7D,F0 7D
],5B,F0 5B
;,4C,F0 4C
',52,F0 52
COMMA,41,F0 41
.,49,F0 49
/,4A,F0 4A
